,word_form,lemma_id,word_root,citation_form,speaker_age,speaker_gender
233,xett,45,xtt,xett/xetti,26,M
234,xann,25,xnn,xann/xanni,26,M
235,baʕdēn,62,bʕd,baʕdēn,26,M
236,maspill,155,Ɂsb/Ɂsp,asab yīsub,26,M
237,lann,147,hnn,lann,26,M
238,mōya,99,mw,mōya,26,M
239,ti,9,t,ti,26,M
240,mṣaffyin,739,ṣfy,ṣaff yṣaff,26,M
241,ōxer,823,Ɂxr,ōxer,26,M
242,mett,20,mtt,mett,26,M
243,awwal,136,Ɂwl,awwal,26,M
244,yōma,26,ywm,yōma,26,M
245,mbaššlillun,431,bšl,baššel ybaššel,26,M
246,nōfeḳ,40,nfḳ,infeḳ/iffeḳ yiffuḳ/yinfuḳ,26,M
247,tepsa,660,tps,tepsa,26,M
248,hanna,7,hnn,hanna,26,M
249,mšammyille,309,šmy,šamm yšamm,26,M
250,ḥaliṯa,168,ḥlw,iḥəl,26,M
251,ti,9,t,ti,26,M
252,ṯēn,125,ṯny,ṯēn/ṯēni,26,M
253,yōma,26,ywm,yōma,26,M
254,ṯanwṯa,3413,ṯnw,ṯanwṯa,26,M
255,ti,9,t,ti,26,M
256,ṯēleṯ,415,ṯlṯ,ṯēleṯ,26,M
257,yōma,26,ywm,yōma,26,M
258,čaməzṯa,2594,čmz,čaməzṯa,26,M
259,bōṯar,55,bṯr,bōṯar,26,M
260,ma,293,mɁ,ma,26,M
261,nōfeḳ,40,nfḳ,infeḳ/iffeḳ yiffuḳ/yinfuḳ,26,M
262,atar,65,twr,atar,26,M
263,tepsa,660,tps,tepsa,26,M
265,žʕīlča,2450,žʕly,žʕīlča,26,M
266,maspille,155,Ɂsb/Ɂsp,asab yīsub,26,M
267,ʕa,4,ʕly,ʕa/ʕal,26,M
268,payṯa,29,byṯ,payṯa,26,M
270,tankōṯa,1509,tnk,tanəkṯa,26,M
271,maffille,131,Ɂfy,aff/affi yaff/yaffi,26,M
272,mayṯyin,19,Ɂṯy,ayṯ(i) yayṯ(i),26,M
273,ḳīsəṯ,285,ḳys,ḳīsa,26,M
274,ṯinō,934,ṯyn,ṯēnča,26,M
275,w,1,w,w,26,M
276,nōḥčin,46,nḥč,inḥeč/iḥḥeč yinḥuč/yiḥḥuč,26,M
277,ṭrōfa,3420,ṭrf,ṭrōfa,26,M
278,bē,71,byṯ,bē,26,M
279,xfōḳa,1847,xfḳ,xfōḳa,26,M
280,xfōḳa,1847,xfḳ,xfōḳa,26,M
281,xfōḳa,1847,xfḳ,xfōḳa,26,M
282,xann,25,xnn,xann/xanni,26,M
283,ḥetta,32,ḥtt,ḥetta,26,M
284,yažmet,1159,žmt,ažmet yažmet,26,M
285,bess,42,bss,bess/bessi,26,M
286,yažmet,1159,žmt,ažmet yažmet,26,M
287,ṯōḳen,17,ṯḳn,iṯḳen yiṯḳan,26,M
288,žōhez,1158,žhz,žōhez,26,M
290,xōla,156,Ɂxl,xōla,26,M
291,mišwin,10,šwy,išw/išwi yišw/yišwi,26,M
292,menne,69,m,m/mn,26,M
293,exma,291,Ɂxm,exma,26,M
294,aklan,3668,Ɂkl,akəlṯa,26,M
295,mišwin,10,šwy,išw/išwi yišw/yišwi,26,M
296,ḥlōṯa,1076,ḥlw,ḥlōṯa,26,M
297,w,1,w,w,26,M
298,mišwin,10,šwy,išw/išwi yišw/yišwi,26,M
299,menne,69,m,m/mn,26,M
300,bišōla,958,bšl,bišōla,26,M
301,w,1,w,w,26,M
302,mišwin,10,šwy,išw/išwi yišw/yišwi,26,M
303,menne,69,m,m/mn,26,M
304,swīḳa,1495,swḳ,swīḳa,26,M
305,w,1,w,w,26,M
306,swīḳa,1495,swḳ,swīḳa,26,M
307,mišwille,10,šwy,išw/išwi yišw/yišwi,26,M
308,w,1,w,w,26,M
309,mō,23,mɁ,mō,26,M
310,xett,45,xtt,xett/xetti,26,M
311,mišwin,10,šwy,išw/išwi yišw/yišwi,26,M
312,swīḳa,1495,swḳ,swīḳa,26,M
313,w,1,w,w,26,M
314,bišōla,958,bšl,bišōla,26,M
316,tepsa,660,tps,tepsa,26,M
317,amma,373,Ɂmm,amma,26,M
318,maʕṣarča,1898,ʕṣr,maʕṣarča,26,M
319,mičkawwna,2943,kwn,čkawwan yičkawwan,26,M
320,hī,72,hy,hī,26,M
321,maʕṣarča,1898,ʕṣr,maʕṣarča,26,M
322,čūṯ,112,Ɂyṯ,čūṯ(i),26,M
323,ġayra,95,ġyr,ġayr/ġēr,26,M
324,čbīʕa,1590,čbʕ,ičbaʕ yičbuʕ,26,M
326,ḏayra,299,ḏyr,ḏayra,26,M
327,ʕibāra,3655,ʕbr,ʕibāra,26,M
328,ʕmīrča,2475,ʕmr,ʕmīrča,26,M
329,rappa,181,rbb,rabb/rabbi,26,M
330,uppa,183,b,ipp-/upp-,26,M
331,ḏokkṯa,107,ḏkk,ḏokkṯa,26,M
332,atar,65,twr,atar,26,M
333,ḥetta,32,ḥtt,ḥetta,26,M
334,yžammʕull,484,žmʕ,žammeʕ/žammaʕ yžammeʕ/yžammaʕ,26,M
335,ḏlūḳa,467,ḏlḳ,ḏlūḳa,26,M
336,bā,2,b,b-,26,M
337,w,1,w,w,26,M
338,yaḏərxun,2624,ḏrx,aḏrex yaḏrex,26,M
339,bā,2,b,b-,26,M
340,wḓōyṯa,381,wḓy,wḓōyṯa,26,M
341,ḥrīṯa,85,ḥr,ḥrēna,26,M
342,mžammʕill,484,žmʕ,žammeʕ/žammaʕ yžammeʕ/yžammaʕ,26,M
343,trisō,3427,trs,trīsa,26,M
344,w,1,w,w,26,M
345,wḓōyṯa,381,wḓy,wḓōyṯa,26,M
346,ti,9,t,ti,26,M
347,ṣfifill,691,ṣff,aṣaf yiṣṣuf,26,M
348,tuġarō,1505,tġr,tuġōra,26,M
349,bōn,2,b,b-,26,M
350,ḥetta,32,ḥtt,ḥetta,26,M
351,yṣaffun,739,ṣfy,ṣaff yṣaff,26,M
352,w,1,w,w,26,M
353,wḓōyṯa,381,wḓy,wḓōyṯa,26,M
354,ti,9,t,ti,26,M
355,arxibill,624,rxb,arxeb yarxeb,26,M
356,žʕīlča,2450,žʕly,žʕīlča,26,M
357,w,1,w,w,26,M
358,mšaʕʕlin,140,šʕl,šaʕʕel yšaʕʕel,26,M
359,nūra,256,nwr,nūra,26,M
360,erraʕ,127,Ɂrʕ,erraʕ,26,M
361,menna,69,m,m/mn,26,M
362,ḥetta,32,ḥtt,ḥetta,26,M
363,ybaššlull,431,bšl,baššel ybaššel,26,M
364,tepsa,660,tps,tepsa,26,M
365,hanna,7,hnn,hanna,26,M
366,xull,39,xll,xull,26,M
367,ḥkōyṯa,541,ḥky,ḥkōyṯa,26,M
368,maʕ,88,mʕ,maʕ,26,M
369,tepsa,660,tps,tepsa,26,M
370,ḥasslaṯ,109,ḥsl,ḥassel yḥassel,26,M
371,ḥkōyṯa,541,ḥky,ḥkōyṯa,26,M
373,yarḥič,205,rḥl,yarḥa,51,F
374,čammuz,2595,čmz,čammuz,51,F
375,yā,28,y(Ɂ),ya/yā,51,F
376,rrīxa,531,yrx,irrex,51,F
377,ʕomra,171,ʕmr,ʕomra,51,F
378,miščawyan,1277,šwy,iščwi yiščwi,51,F
379,mušəmšōṯa,3022,mšmš,mušmešṯa,51,F
380,ḏukkil,133,ḏkk,ḏukkil/ḏikkil,51,F
381,miščawyan,1277,šwy,iščwi yiščwi,51,F
382,baḥ,12,btt,batt-,51,F
383,naḥḥčess,229,nḥč,aḥḥeč yaḥḥeč,51,F
384,sella,1482,sll,sella,51,F
385,w,1,w,w,51,F
386,niḥḥuč,46,nḥč,inḥeč/iḥḥeč yinḥuč/yiḥḥuč,51,F
387,ʕa,4,ʕly,ʕa/ʕal,51,F
388,šiḳya,477,šḳy,šiḳya,51,F
389,nḳuṭfennen,1420,ḳṭf,iḳṭaf yiḳṭuf,51,F
390,w,1,w,w,51,F
391,nimḥammlillen,337,ḥml,ḥammel yḥammel,51,F
392,ʕa,4,ʕly,ʕa/ʕal,51,F
393,ḥmōra,192,ḥmr,ḥmōra,51,F
394,w,1,w,w,51,F
395,nmayṯyillen,19,Ɂṯy,ayṯ(i) yayṯ(i),51,F
396,niṯyillaḥ,11,Ɂṯy,ṯōle yṯēle,51,F
397,ʕa,4,ʕly,ʕa/ʕal,51,F
