,word_form,lemma_id,word_root,citation_form
532,xet,45,xtt,xett/xetti
534,šimša,277,šmš,šimša
535,mett,20,mtt,mett
536,šoppṯiz,425,špp,šoppṯa
537,zamōna,198,zmn,zamōna
538,yīb,53,b,yīb
539,iṯḳen,17,ṯḳn,iṯḳen yiṯḳan
540,kayyes,209,kys,kayyes
541,nmaḥḥčille,229,nḥč,aḥḥeč yaḥḥeč
542,w,1,w,w
543,nṭamrille,332,ṭmr,iṭmar yiṭmur
545,šičwōyṯa,378,ščw,šičwōyṯa
546,w,1,w,w
547,baʕdēn,62,bʕd,baʕdēn
548,nmaffḳin,173,nfḳ,affeḳ yaffeḳ
549,awwal,136,Ɂwl,awwal
551,awwal,136,Ɂwl,awwal
553,ṣaḥna,440,ṣḥn,ṣaḥna
554,w,1,w,w
555,nōxlin,61,Ɂxl,axal yīxul
556,ṯyillun,11,Ɂṯy,ṯōle yṯēle
557,mayṯyill,19,Ɂṯy,ayṯ(i) yayṯ(i)
558,lanna,48,hnn,lanna
560,lann,147,hnn,lann
561,xarufyōṯa,429,xrf,xarōfa
562,w,1,w,w
563,ḥalpillen,2020,ḥlb,iḥlab yiḥlub
564,bōṯar,55,bṯr,bōṯar
565,mil,84,mḏ,mil
566,ḥalpillen,2020,ḥlb,iḥlab yiḥlub
567,mṣaffyill,739,ṣfy,ṣaff yṣaff
568,lanna,48,hnn,lanna
569,ḥalba,325,ḥlb,ḥalba
570,bōṯar,55,bṯr,bōṯar
571,mil,84,mḏ,mil
572,mṣaffyill,739,ṣfy,ṣaff yṣaff
573,ḥalba,325,ḥlb,ḥalba
574,ōṯ,27,Ɂyṯ,ōṯ(i)
575,ḳurṣyōṯəl,1089,ḳrṣ,ḳoreṣča
576,mažbanča,2414,žbn,mažbanča
577,franžōyan,1616,frnž,franžay
578,hann,33,hnn,hann(un)
579,masalan,149,msl,másalan
580,ʕa,4,ʕly,ʕa/ʕal
581,ḳall,242,ḳly,ḳall yḳall
582,ḥalba,325,ḥlb,ḥalba
583,exma,291,Ɂxm,exma
584,ḥalba,325,ḥlb,ḥalba
585,ṣummar,799,ṣmr,ṣummar
586,ḳallel,646,ḳll,ḳallel
